job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,daisie_version,ddmodel,params_i,runtime,nb_clades,nb_cpus
24458341,NA,COMPLETED,NA,0.091,1e-4,10,1,IW,11,1,02:52:47,NA,4
24458342,NA,COMPLETED,NA,0.091,1e-4,11,1,IW,11,1,01:50:44,NA,4
24458343,NA,COMPLETED,NA,0.091,1e-4,12,1,IW,11,1,03:54:16,NA,4
24458344,NA,COMPLETED,NA,0.091,1e-4,13,1,IW,11,1,04:22:29,NA,4
24458345,NA,COMPLETED,NA,0.091,1e-4,14,1,IW,11,1,03:03:40,NA,4
24458346,NA,COMPLETED,NA,0.091,1e-4,15,1,IW,11,1,02:34:42,NA,4
24458347,NA,COMPLETED,NA,0.091,1e-4,16,1,IW,11,1,02:41:17,NA,4
24458348,NA,COMPLETED,NA,0.091,1e-4,17,1,IW,11,1,02:56:18,NA,4
24458349,NA,COMPLETED,NA,0.091,1e-4,18,1,IW,11,1,02:58:26,NA,4
24458350,NA,COMPLETED,NA,0.091,1e-4,19,1,IW,11,1,02:46:57,NA,4
24458351,NA,COMPLETED,NA,0.091,1e-4,20,1,IW,11,1,02:17:16,NA,4
24458352,NA,COMPLETED,NA,0.091,1e-4,21,1,IW,11,1,01:59:47,NA,4
24458353,NA,COMPLETED,NA,0.091,1e-4,22,1,IW,11,1,03:23:12,NA,4
24458354,NA,COMPLETED,NA,0.091,1e-4,23,1,IW,11,1,03:14:47,NA,4
24458355,NA,COMPLETED,NA,0.091,1e-4,24,1,IW,11,1,03:14:05,NA,4
24458356,NA,COMPLETED,NA,0.091,1e-4,25,1,IW,11,1,02:55:47,NA,4
24458357,NA,COMPLETED,NA,0.091,1e-4,26,1,IW,11,1,02:11:21,NA,4
24458359,NA,COMPLETED,NA,0.091,1e-4,28,1,IW,11,1,02:24:01,NA,4
24458358,NA,COMPLETED,NA,0.091,1e-4,27,1,IW,11,1,03:36:45,NA,4
24458360,NA,COMPLETED,NA,0.091,1e-4,29,1,IW,11,1,03:36:44,NA,4
24458361,NA,COMPLETED,NA,0.091,1e-4,30,1,IW,11,1,02:48:55,NA,4
24458362,NA,COMPLETED,NA,0.091,1e-4,31,1,IW,11,1,03:11:04,NA,4
24458364,NA,COMPLETED,NA,0.091,1e-4,33,1,IW,11,1,03:00:23,NA,4
24458363,NA,COMPLETED,NA,0.091,1e-4,32,1,IW,11,1,02:05:24,NA,4
24458365,NA,COMPLETED,NA,0.091,1e-4,34,1,IW,11,1,03:06:08,NA,4
24458366,NA,COMPLETED,NA,0.091,1e-4,35,1,IW,11,1,02:34:19,NA,4
24458367,NA,COMPLETED,NA,0.091,1e-4,36,1,IW,11,1,03:10:48,NA,4
24458368,NA,COMPLETED,NA,0.091,1e-4,37,1,IW,11,1,03:08:59,NA,4
24458369,NA,COMPLETED,NA,0.091,1e-4,38,1,IW,11,1,03:01:22,NA,4
24458370,NA,COMPLETED,NA,0.091,1e-4,39,1,IW,11,1,03:01:28,NA,4
24458372,NA,COMPLETED,NA,0.091,1e-4,41,1,IW,11,1,03:27:25,NA,4
24458373,NA,COMPLETED,NA,0.091,1e-4,42,1,IW,11,1,02:27:42,NA,4
24458371,NA,COMPLETED,NA,0.091,1e-4,40,1,IW,11,1,05:07:30,NA,4
24458374,NA,COMPLETED,NA,0.091,1e-4,43,1,IW,11,1,02:09:11,NA,4
24458375,NA,COMPLETED,NA,0.091,1e-4,44,1,IW,11,1,02:14:31,NA,4
24458376,NA,COMPLETED,NA,0.091,1e-4,45,1,IW,11,1,01:45:24,NA,4
24458377,NA,COMPLETED,NA,0.091,1e-4,46,1,IW,11,1,01:55:13,NA,4
24458378,NA,COMPLETED,NA,0.091,1e-4,47,1,IW,11,1,02:56:31,NA,4
24458379,NA,COMPLETED,NA,0.091,1e-4,48,1,IW,11,1,03:06:00,NA,4
24458380,NA,COMPLETED,NA,0.091,1e-4,49,1,IW,11,1,03:10:50,NA,4
24458381,NA,COMPLETED,NA,0.091,1e-4,50,1,IW,11,1,02:08:01,NA,4
24458382,NA,COMPLETED,NA,0.091,1e-4,51,1,IW,11,1,03:11:25,NA,4
24458383,NA,COMPLETED,NA,0.091,1e-4,52,1,IW,11,1,03:22:05,NA,4
24458384,NA,COMPLETED,NA,0.091,1e-4,53,1,IW,11,1,06:01:09,NA,4
24458385,NA,COMPLETED,NA,0.091,1e-4,54,1,IW,11,1,03:26:26,NA,4
24458386,NA,COMPLETED,NA,0.091,1e-4,55,1,IW,11,1,03:10:28,NA,4
24458387,NA,COMPLETED,NA,0.091,1e-4,56,1,IW,11,1,02:37:03,NA,4
24458388,NA,COMPLETED,NA,0.091,1e-4,57,1,IW,11,1,03:20:32,NA,4
24458389,NA,COMPLETED,NA,0.091,1e-4,58,1,IW,11,1,03:13:10,NA,4
24458390,NA,COMPLETED,NA,0.091,1e-4,59,1,IW,11,1,03:39:20,NA,4
24458391,NA,COMPLETED,NA,0.091,1e-4,60,1,IW,11,1,02:18:04,NA,4
24458392,NA,COMPLETED,NA,0.091,1e-4,61,1,IW,11,1,03:36:21,NA,4
24458393,NA,COMPLETED,NA,0.091,1e-4,62,1,IW,11,1,06:25:32,NA,4
24458395,NA,COMPLETED,NA,0.091,1e-4,64,1,IW,11,1,02:45:40,NA,4
24458394,NA,COMPLETED,NA,0.091,1e-4,63,1,IW,11,1,00:00:11,NA,4
24458396,NA,COMPLETED,NA,0.091,1e-4,65,1,IW,11,1,03:55:49,NA,4
24458397,NA,COMPLETED,NA,0.091,1e-4,66,1,IW,11,1,02:16:16,NA,4
24458398,NA,COMPLETED,NA,0.091,1e-4,67,1,IW,11,1,04:33:19,NA,4
24458399,NA,COMPLETED,NA,0.091,1e-4,68,1,IW,11,1,02:27:59,NA,4
24458400,NA,COMPLETED,NA,0.091,1e-4,69,1,IW,11,1,02:01:11,NA,4
24458401,NA,COMPLETED,NA,0.091,1e-4,70,1,IW,11,1,03:48:21,NA,4
24458402,NA,COMPLETED,NA,0.091,1e-4,71,1,IW,11,1,03:39:19,NA,4
24458403,NA,COMPLETED,NA,0.091,1e-4,72,1,IW,11,1,02:26:38,NA,4
24458404,NA,COMPLETED,NA,0.091,1e-4,73,1,IW,11,1,02:41:13,NA,4
24458405,NA,COMPLETED,NA,0.091,1e-4,74,1,IW,11,1,02:09:52,NA,4
24458406,NA,COMPLETED,NA,0.091,1e-4,75,1,IW,11,1,02:34:28,NA,4
24458407,NA,COMPLETED,NA,0.091,1e-4,76,1,IW,11,1,02:59:28,NA,4
24458408,NA,COMPLETED,NA,0.091,1e-4,77,1,IW,11,1,06:09:31,NA,4
24458409,NA,COMPLETED,NA,0.091,1e-4,78,1,IW,11,1,03:16:16,NA,4
24458410,NA,RUNNING,NA,0.091,1e-4,79,1,IW,11,1,4-18:33:44,NA,4
24458411,NA,COMPLETED,NA,0.091,1e-4,80,1,IW,11,1,02:07:14,NA,4
24458412,NA,COMPLETED,NA,0.091,1e-4,81,1,IW,11,1,02:44:59,NA,4
24458413,NA,COMPLETED,NA,0.091,1e-4,82,1,IW,11,1,02:56:26,NA,4
24458416,NA,COMPLETED,NA,0.091,1e-4,85,1,IW,11,1,02:07:07,NA,4
24458414,NA,COMPLETED,NA,0.091,1e-4,83,1,IW,11,1,02:47:14,NA,4
24458415,NA,COMPLETED,NA,0.091,1e-4,84,1,IW,11,1,03:39:18,NA,4
24458417,NA,COMPLETED,NA,0.091,1e-4,86,1,IW,11,1,02:16:21,NA,4
24458418,NA,COMPLETED,NA,0.091,1e-4,87,1,IW,11,1,02:45:46,NA,4
24458419,NA,COMPLETED,NA,0.091,1e-4,88,1,IW,11,1,02:31:56,NA,4
24458420,NA,COMPLETED,NA,0.091,1e-4,89,1,IW,11,1,04:21:03,NA,4
24458421,NA,COMPLETED,NA,0.091,1e-4,90,1,IW,11,1,01:52:53,NA,4
24458422,NA,COMPLETED,NA,0.091,1e-4,91,1,IW,11,1,03:10:00,NA,4
24458423,NA,COMPLETED,NA,0.091,1e-4,92,1,IW,11,1,03:04:09,NA,4
24458424,NA,COMPLETED,NA,0.091,1e-4,93,1,IW,11,1,03:11:41,NA,4
24458425,NA,COMPLETED,NA,0.091,1e-4,94,1,IW,11,1,01:56:40,NA,4
24458426,NA,COMPLETED,NA,0.091,1e-4,95,1,IW,11,1,03:17:32,NA,4
24458427,NA,COMPLETED,NA,0.091,1e-4,96,1,IW,11,1,03:02:24,NA,4
24458428,NA,COMPLETED,NA,0.091,1e-4,97,1,IW,11,1,02:51:29,NA,4
24458429,NA,COMPLETED,NA,0.091,1e-4,98,1,IW,11,1,04:31:13,NA,4
24458430,NA,COMPLETED,NA,0.091,1e-4,99,1,IW,11,1,02:42:15,NA,4
24458431,NA,RUNNING,NA,0.091,1e-4,100,1,IW,11,1,4-16:40:35,NA,4
24562086,NA,COMPLETED,NA,0.369,1e-4,1,1,CS,11,1,00:13:24,NA,1
24562124,NA,COMPLETED,NA,0.091,1e-4,1,1,CS,11,1,01:01:40,NA,1
24562135,NA,COMPLETED,NA,0.369,1e-4,2,1,CS,11,1,00:12:49,NA,1
24562138,NA,COMPLETED,NA,0.369,1e-4,5,1,CS,11,1,00:11:24,NA,1
24562140,NA,COMPLETED,NA,0.369,1e-4,7,1,CS,11,1,00:11:38,NA,1
24562139,NA,COMPLETED,NA,0.369,1e-4,6,1,CS,11,1,00:10:49,NA,1
24562136,NA,COMPLETED,NA,0.369,1e-4,3,1,CS,11,1,00:15:58,NA,1
24562137,NA,COMPLETED,NA,0.369,1e-4,4,1,CS,11,1,00:12:36,NA,1
24562142,NA,COMPLETED,NA,0.369,1e-4,9,1,CS,11,1,00:09:36,NA,1
24562144,NA,COMPLETED,NA,0.369,1e-4,11,1,CS,11,1,00:14:45,NA,1
24562145,NA,COMPLETED,NA,0.369,1e-4,12,1,CS,11,1,00:16:28,NA,1
24562143,NA,COMPLETED,NA,0.369,1e-4,10,1,CS,11,1,00:13:09,NA,1
24562141,NA,COMPLETED,NA,0.369,1e-4,8,1,CS,11,1,00:17:39,NA,1
24562146,NA,COMPLETED,NA,0.369,1e-4,13,1,CS,11,1,00:11:51,NA,1
24562148,NA,COMPLETED,NA,0.369,1e-4,15,1,CS,11,1,00:09:43,NA,1
24562151,NA,COMPLETED,NA,0.369,1e-4,18,1,CS,11,1,00:15:11,NA,1
24562149,NA,COMPLETED,NA,0.369,1e-4,16,1,CS,11,1,00:15:29,NA,1
24562147,NA,COMPLETED,NA,0.369,1e-4,14,1,CS,11,1,00:10:20,NA,1
24562150,NA,COMPLETED,NA,0.369,1e-4,17,1,CS,11,1,00:17:51,NA,1
24562152,NA,COMPLETED,NA,0.369,1e-4,19,1,CS,11,1,00:15:03,NA,1
24562153,NA,COMPLETED,NA,0.369,1e-4,20,1,CS,11,1,00:19:06,NA,1
24562154,NA,COMPLETED,NA,0.369,1e-4,21,1,CS,11,1,00:10:24,NA,1
24562158,NA,COMPLETED,NA,0.369,1e-4,25,1,CS,11,1,00:12:12,NA,1
24562157,NA,COMPLETED,NA,0.369,1e-4,24,1,CS,11,1,00:09:09,NA,1
24562159,NA,COMPLETED,NA,0.369,1e-4,26,1,CS,11,1,00:08:50,NA,1
24562156,NA,COMPLETED,NA,0.369,1e-4,23,1,CS,11,1,00:16:08,NA,1
24562155,NA,COMPLETED,NA,0.369,1e-4,22,1,CS,11,1,00:14:22,NA,1
24562160,NA,COMPLETED,NA,0.369,1e-4,27,1,CS,11,1,00:13:13,NA,1
24562161,NA,COMPLETED,NA,0.369,1e-4,28,1,CS,11,1,00:14:16,NA,1
24562162,NA,COMPLETED,NA,0.369,1e-4,29,1,CS,11,1,00:10:55,NA,1
24562163,NA,COMPLETED,NA,0.369,1e-4,30,1,CS,11,1,00:14:16,NA,1
24562164,NA,COMPLETED,NA,0.369,1e-4,31,1,CS,11,1,00:11:20,NA,1
24562165,NA,COMPLETED,NA,0.369,1e-4,32,1,CS,11,1,00:12:20,NA,1
24562166,NA,COMPLETED,NA,0.369,1e-4,33,1,CS,11,1,00:13:29,NA,1
24562167,NA,COMPLETED,NA,0.369,1e-4,34,1,CS,11,1,00:11:26,NA,1
24562168,NA,COMPLETED,NA,0.369,1e-4,35,1,CS,11,1,00:13:33,NA,1
24562169,NA,COMPLETED,NA,0.369,1e-4,36,1,CS,11,1,00:14:14,NA,1
24562170,NA,COMPLETED,NA,0.369,1e-4,37,1,CS,11,1,00:15:46,NA,1
24562171,NA,COMPLETED,NA,0.369,1e-4,38,1,CS,11,1,00:22:32,NA,1
24562172,NA,COMPLETED,NA,0.369,1e-4,39,1,CS,11,1,00:14:07,NA,1
24562174,NA,COMPLETED,NA,0.369,1e-4,41,1,CS,11,1,00:11:03,NA,1
24562175,NA,COMPLETED,NA,0.369,1e-4,42,1,CS,11,1,00:14:25,NA,1
24562173,NA,COMPLETED,NA,0.369,1e-4,40,1,CS,11,1,00:12:40,NA,1
24562176,NA,COMPLETED,NA,0.369,1e-4,43,1,CS,11,1,00:08:02,NA,1
24562177,NA,COMPLETED,NA,0.369,1e-4,44,1,CS,11,1,00:00:07,NA,1
24562178,NA,COMPLETED,NA,0.369,1e-4,45,1,CS,11,1,00:16:59,NA,1
24562179,NA,COMPLETED,NA,0.369,1e-4,46,1,CS,11,1,00:15:39,NA,1
24562183,NA,COMPLETED,NA,0.369,1e-4,50,1,CS,11,1,00:14:04,NA,1
24562181,NA,COMPLETED,NA,0.369,1e-4,48,1,CS,11,1,00:13:45,NA,1
24562182,NA,COMPLETED,NA,0.369,1e-4,49,1,CS,11,1,00:12:37,NA,1
24562180,NA,COMPLETED,NA,0.369,1e-4,47,1,CS,11,1,00:11:58,NA,1
24562188,NA,COMPLETED,NA,0.369,1e-4,55,1,CS,11,1,00:11:11,NA,1
24562184,NA,COMPLETED,NA,0.369,1e-4,51,1,CS,11,1,00:16:06,NA,1
24562185,NA,COMPLETED,NA,0.369,1e-4,52,1,CS,11,1,00:13:55,NA,1
24562186,NA,COMPLETED,NA,0.369,1e-4,53,1,CS,11,1,00:14:53,NA,1
24562187,NA,COMPLETED,NA,0.369,1e-4,54,1,CS,11,1,00:18:12,NA,1
24562189,NA,COMPLETED,NA,0.369,1e-4,56,1,CS,11,1,00:12:06,NA,1
24562191,NA,COMPLETED,NA,0.369,1e-4,58,1,CS,11,1,00:08:59,NA,1
24562192,NA,COMPLETED,NA,0.369,1e-4,59,1,CS,11,1,00:11:05,NA,1
24562190,NA,COMPLETED,NA,0.369,1e-4,57,1,CS,11,1,00:12:22,NA,1
24562195,NA,COMPLETED,NA,0.369,1e-4,62,1,CS,11,1,00:06:33,NA,1
24562193,NA,COMPLETED,NA,0.369,1e-4,60,1,CS,11,1,00:12:39,NA,1
24562194,NA,COMPLETED,NA,0.369,1e-4,61,1,CS,11,1,00:14:37,NA,1
24562196,NA,COMPLETED,NA,0.369,1e-4,63,1,CS,11,1,00:15:35,NA,1
24562197,NA,COMPLETED,NA,0.369,1e-4,64,1,CS,11,1,00:19:34,NA,1
24562198,NA,COMPLETED,NA,0.369,1e-4,65,1,CS,11,1,00:12:52,NA,1
24562199,NA,COMPLETED,NA,0.369,1e-4,66,1,CS,11,1,00:12:19,NA,1
24562200,NA,COMPLETED,NA,0.369,1e-4,67,1,CS,11,1,00:12:57,NA,1
24562201,NA,COMPLETED,NA,0.369,1e-4,68,1,CS,11,1,00:18:21,NA,1
24562202,NA,COMPLETED,NA,0.369,1e-4,69,1,CS,11,1,00:12:24,NA,1
24562203,NA,COMPLETED,NA,0.369,1e-4,70,1,CS,11,1,00:13:00,NA,1
24562204,NA,COMPLETED,NA,0.369,1e-4,71,1,CS,11,1,00:12:00,NA,1
24562205,NA,COMPLETED,NA,0.369,1e-4,72,1,CS,11,1,00:11:14,NA,1
24562206,NA,COMPLETED,NA,0.369,1e-4,73,1,CS,11,1,00:10:56,NA,1
24562207,NA,COMPLETED,NA,0.369,1e-4,74,1,CS,11,1,00:13:33,NA,1
24562208,NA,COMPLETED,NA,0.369,1e-4,75,1,CS,11,1,00:13:36,NA,1
24562209,NA,COMPLETED,NA,0.369,1e-4,76,1,CS,11,1,00:14:21,NA,1
24562210,NA,COMPLETED,NA,0.369,1e-4,77,1,CS,11,1,00:12:33,NA,1
24562211,NA,COMPLETED,NA,0.369,1e-4,78,1,CS,11,1,00:06:01,NA,1
24562213,NA,COMPLETED,NA,0.369,1e-4,80,1,CS,11,1,00:15:41,NA,1
24562212,NA,COMPLETED,NA,0.369,1e-4,79,1,CS,11,1,00:14:19,NA,1
24562214,NA,COMPLETED,NA,0.369,1e-4,81,1,CS,11,1,00:15:38,NA,1
24562215,NA,COMPLETED,NA,0.369,1e-4,82,1,CS,11,1,00:17:29,NA,1
24562216,NA,COMPLETED,NA,0.369,1e-4,83,1,CS,11,1,00:12:34,NA,1
24562217,NA,COMPLETED,NA,0.369,1e-4,84,1,CS,11,1,00:15:25,NA,1
24562218,NA,COMPLETED,NA,0.369,1e-4,85,1,CS,11,1,00:14:06,NA,1
24562219,NA,COMPLETED,NA,0.369,1e-4,86,1,CS,11,1,00:17:39,NA,1
24562220,NA,COMPLETED,NA,0.369,1e-4,87,1,CS,11,1,00:12:59,NA,1
24562221,NA,COMPLETED,NA,0.369,1e-4,88,1,CS,11,1,00:14:05,NA,1
24562222,NA,COMPLETED,NA,0.369,1e-4,89,1,CS,11,1,00:14:07,NA,1
24562223,NA,COMPLETED,NA,0.369,1e-4,90,1,CS,11,1,00:17:22,NA,1
24562224,NA,COMPLETED,NA,0.369,1e-4,91,1,CS,11,1,00:12:04,NA,1
24562225,NA,COMPLETED,NA,0.369,1e-4,92,1,CS,11,1,00:14:08,NA,1
24562226,NA,COMPLETED,NA,0.369,1e-4,93,1,CS,11,1,00:11:31,NA,1
24562227,NA,COMPLETED,NA,0.369,1e-4,94,1,CS,11,1,00:09:45,NA,1
24562228,NA,COMPLETED,NA,0.369,1e-4,95,1,CS,11,1,00:20:36,NA,1
24562229,NA,COMPLETED,NA,0.369,1e-4,96,1,CS,11,1,00:09:13,NA,1
24562233,NA,COMPLETED,NA,0.369,1e-4,100,1,CS,11,1,00:13:56,NA,1
24562231,NA,COMPLETED,NA,0.369,1e-4,98,1,CS,11,1,00:16:11,NA,1
24562232,NA,COMPLETED,NA,0.369,1e-4,99,1,CS,11,1,00:13:44,NA,1
24562230,NA,COMPLETED,NA,0.369,1e-4,97,1,CS,11,1,00:00:08,NA,1
24562333,NA,COMPLETED,NA,0.091,1e-4,2,1,CS,11,1,01:08:05,NA,1
24562334,NA,COMPLETED,NA,0.091,1e-4,3,1,CS,11,1,00:52:42,NA,1
24562335,NA,COMPLETED,NA,0.091,1e-4,4,1,CS,11,1,00:46:30,NA,1
24562336,NA,COMPLETED,NA,0.091,1e-4,5,1,CS,11,1,01:16:24,NA,1
24562337,NA,COMPLETED,NA,0.091,1e-4,6,1,CS,11,1,01:49:30,NA,1
24562338,NA,COMPLETED,NA,0.091,1e-4,7,1,CS,11,1,00:48:55,NA,1
24562339,NA,COMPLETED,NA,0.091,1e-4,8,1,CS,11,1,00:53:38,NA,1
24562340,NA,COMPLETED,NA,0.091,1e-4,9,1,CS,11,1,01:50:50,NA,1
24562341,NA,COMPLETED,NA,0.091,1e-4,10,1,CS,11,1,01:17:23,NA,1
24562342,NA,COMPLETED,NA,0.091,1e-4,11,1,CS,11,1,00:45:30,NA,1
24562343,NA,COMPLETED,NA,0.091,1e-4,12,1,CS,11,1,01:10:29,NA,1
24562345,NA,COMPLETED,NA,0.091,1e-4,14,1,CS,11,1,02:07:05,NA,1
24562344,NA,COMPLETED,NA,0.091,1e-4,13,1,CS,11,1,00:44:44,NA,1
24562348,NA,COMPLETED,NA,0.091,1e-4,17,1,CS,11,1,00:50:57,NA,1
24562346,NA,COMPLETED,NA,0.091,1e-4,15,1,CS,11,1,01:03:27,NA,1
24562347,NA,COMPLETED,NA,0.091,1e-4,16,1,CS,11,1,00:59:52,NA,1
24562350,NA,COMPLETED,NA,0.091,1e-4,19,1,CS,11,1,00:45:11,NA,1
24562351,NA,COMPLETED,NA,0.091,1e-4,20,1,CS,11,1,00:31:25,NA,1
24562349,NA,COMPLETED,NA,0.091,1e-4,18,1,CS,11,1,01:19:01,NA,1
24562353,NA,COMPLETED,NA,0.091,1e-4,22,1,CS,11,1,00:46:46,NA,1
24562352,NA,COMPLETED,NA,0.091,1e-4,21,1,CS,11,1,00:53:16,NA,1
24562354,NA,COMPLETED,NA,0.091,1e-4,23,1,CS,11,1,00:52:32,NA,1
24562355,NA,COMPLETED,NA,0.091,1e-4,24,1,CS,11,1,00:26:58,NA,1
24562356,NA,COMPLETED,NA,0.091,1e-4,25,1,CS,11,1,00:54:45,NA,1
24562357,NA,COMPLETED,NA,0.091,1e-4,26,1,CS,11,1,00:52:59,NA,1
24562360,NA,COMPLETED,NA,0.091,1e-4,29,1,CS,11,1,00:53:29,NA,1
24562358,NA,COMPLETED,NA,0.091,1e-4,27,1,CS,11,1,00:54:41,NA,1
24562361,NA,COMPLETED,NA,0.091,1e-4,30,1,CS,11,1,00:43:32,NA,1
24562359,NA,COMPLETED,NA,0.091,1e-4,28,1,CS,11,1,00:37:05,NA,1
24562367,NA,COMPLETED,NA,0.091,1e-4,36,1,CS,11,1,00:54:59,NA,1
24562366,NA,COMPLETED,NA,0.091,1e-4,35,1,CS,11,1,00:47:06,NA,1
24562363,NA,COMPLETED,NA,0.091,1e-4,32,1,CS,11,1,00:50:56,NA,1
24562362,NA,COMPLETED,NA,0.091,1e-4,31,1,CS,11,1,00:45:24,NA,1
24562365,NA,COMPLETED,NA,0.091,1e-4,34,1,CS,11,1,01:15:04,NA,1
24562364,NA,COMPLETED,NA,0.091,1e-4,33,1,CS,11,1,00:50:05,NA,1
24562368,NA,COMPLETED,NA,0.091,1e-4,37,1,CS,11,1,00:59:38,NA,1
24562373,NA,COMPLETED,NA,0.091,1e-4,42,1,CS,11,1,00:44:24,NA,1
24562371,NA,COMPLETED,NA,0.091,1e-4,40,1,CS,11,1,00:35:40,NA,1
24562369,NA,COMPLETED,NA,0.091,1e-4,38,1,CS,11,1,01:05:33,NA,1
24562372,NA,COMPLETED,NA,0.091,1e-4,41,1,CS,11,1,00:46:28,NA,1
24562370,NA,COMPLETED,NA,0.091,1e-4,39,1,CS,11,1,00:59:21,NA,1
24562374,NA,COMPLETED,NA,0.091,1e-4,43,1,CS,11,1,00:51:59,NA,1
24562377,NA,COMPLETED,NA,0.091,1e-4,46,1,CS,11,1,01:28:33,NA,1
24562375,NA,COMPLETED,NA,0.091,1e-4,44,1,CS,11,1,00:51:34,NA,1
24562376,NA,COMPLETED,NA,0.091,1e-4,45,1,CS,11,1,00:44:40,NA,1
24562378,NA,COMPLETED,NA,0.091,1e-4,47,1,CS,11,1,00:55:22,NA,1
24562385,NA,COMPLETED,NA,0.091,1e-4,54,1,CS,11,1,00:53:10,NA,1
24562379,NA,COMPLETED,NA,0.091,1e-4,48,1,CS,11,1,00:47:10,NA,1
24562380,NA,COMPLETED,NA,0.091,1e-4,49,1,CS,11,1,00:50:23,NA,1
24562388,NA,COMPLETED,NA,0.091,1e-4,57,1,CS,11,1,00:45:12,NA,1
24562389,NA,COMPLETED,NA,0.091,1e-4,58,1,CS,11,1,00:59:25,NA,1
24562387,NA,COMPLETED,NA,0.091,1e-4,56,1,CS,11,1,01:19:11,NA,1
24562386,NA,COMPLETED,NA,0.091,1e-4,55,1,CS,11,1,00:53:41,NA,1
24562382,NA,COMPLETED,NA,0.091,1e-4,51,1,CS,11,1,00:57:17,NA,1
24562383,NA,COMPLETED,NA,0.091,1e-4,52,1,CS,11,1,00:47:49,NA,1
24562381,NA,COMPLETED,NA,0.091,1e-4,50,1,CS,11,1,00:29:46,NA,1
24562384,NA,COMPLETED,NA,0.091,1e-4,53,1,CS,11,1,00:39:13,NA,1
24562390,NA,COMPLETED,NA,0.091,1e-4,59,1,CS,11,1,00:39:52,NA,1
24562391,NA,COMPLETED,NA,0.091,1e-4,60,1,CS,11,1,00:36:52,NA,1
24562392,NA,COMPLETED,NA,0.091,1e-4,61,1,CS,11,1,01:04:18,NA,1
24562393,NA,COMPLETED,NA,0.091,1e-4,62,1,CS,11,1,00:40:08,NA,1
24562394,NA,COMPLETED,NA,0.091,1e-4,63,1,CS,11,1,00:00:07,NA,1
24562395,NA,COMPLETED,NA,0.091,1e-4,64,1,CS,11,1,01:00:14,NA,1
24562396,NA,COMPLETED,NA,0.091,1e-4,65,1,CS,11,1,00:50:08,NA,1
24562397,NA,COMPLETED,NA,0.091,1e-4,66,1,CS,11,1,00:35:41,NA,1
24562398,NA,COMPLETED,NA,0.091,1e-4,67,1,CS,11,1,00:56:42,NA,1
24562399,NA,COMPLETED,NA,0.091,1e-4,68,1,CS,11,1,00:45:38,NA,1
24562405,NA,COMPLETED,NA,0.091,1e-4,74,1,CS,11,1,00:58:42,NA,1
24562407,NA,COMPLETED,NA,0.091,1e-4,76,1,CS,11,1,01:27:28,NA,1
24562406,NA,COMPLETED,NA,0.091,1e-4,75,1,CS,11,1,01:25:45,NA,1
24562403,NA,COMPLETED,NA,0.091,1e-4,72,1,CS,11,1,00:47:17,NA,1
24562404,NA,COMPLETED,NA,0.091,1e-4,73,1,CS,11,1,00:46:39,NA,1
24562400,NA,COMPLETED,NA,0.091,1e-4,69,1,CS,11,1,00:49:20,NA,1
24562401,NA,COMPLETED,NA,0.091,1e-4,70,1,CS,11,1,01:05:56,NA,1
24562402,NA,COMPLETED,NA,0.091,1e-4,71,1,CS,11,1,01:05:41,NA,1
24562408,NA,COMPLETED,NA,0.091,1e-4,77,1,CS,11,1,01:04:26,NA,1
24562409,NA,COMPLETED,NA,0.091,1e-4,78,1,CS,11,1,00:57:23,NA,1
24562410,NA,COMPLETED,NA,0.091,1e-4,79,1,CS,11,1,00:33:32,NA,1
24562414,NA,COMPLETED,NA,0.091,1e-4,83,1,CS,11,1,00:42:31,NA,1
24562413,NA,COMPLETED,NA,0.091,1e-4,82,1,CS,11,1,00:51:50,NA,1
24562411,NA,COMPLETED,NA,0.091,1e-4,80,1,CS,11,1,01:04:19,NA,1
24562412,NA,COMPLETED,NA,0.091,1e-4,81,1,CS,11,1,00:56:04,NA,1
24562420,NA,COMPLETED,NA,0.091,1e-4,89,1,CS,11,1,00:49:13,NA,1
24562419,NA,COMPLETED,NA,0.091,1e-4,88,1,CS,11,1,00:47:43,NA,1
24562415,NA,COMPLETED,NA,0.091,1e-4,84,1,CS,11,1,00:46:52,NA,1
24562416,NA,COMPLETED,NA,0.091,1e-4,85,1,CS,11,1,01:02:16,NA,1
24562418,NA,COMPLETED,NA,0.091,1e-4,87,1,CS,11,1,00:18:23,NA,1
24562417,NA,COMPLETED,NA,0.091,1e-4,86,1,CS,11,1,00:57:26,NA,1
24562421,NA,COMPLETED,NA,0.091,1e-4,90,1,CS,11,1,00:48:31,NA,1
24562422,NA,COMPLETED,NA,0.091,1e-4,91,1,CS,11,1,01:35:32,NA,1
24562425,NA,COMPLETED,NA,0.091,1e-4,94,1,CS,11,1,00:41:25,NA,1
24562423,NA,COMPLETED,NA,0.091,1e-4,92,1,CS,11,1,00:59:31,NA,1
24562424,NA,COMPLETED,NA,0.091,1e-4,93,1,CS,11,1,01:18:08,NA,1
24562426,NA,COMPLETED,NA,0.091,1e-4,95,1,CS,11,1,00:21:38,NA,1
24562427,NA,COMPLETED,NA,0.091,1e-4,96,1,CS,11,1,01:14:26,NA,1
24562428,NA,COMPLETED,NA,0.091,1e-4,97,1,CS,11,1,00:58:20,NA,1
24562430,NA,COMPLETED,NA,0.091,1e-4,99,1,CS,11,1,00:41:14,NA,1
24562429,NA,COMPLETED,NA,0.091,1e-4,98,1,CS,11,1,01:10:03,NA,1
